Entry,Substrate 1,Product,LewisAcid,Solvent,Obs PDT,AP PDT,Hydroxyamide
1,Bn-STM,Product 1,La(OTf)3,METHANOL,Yes,83.59242561,3.747130154
2,Bn-STM,Product 1,Sm(OTf)3,METHANOL,Yes,97.10562999,2.780144041
3,Bn-STM,Product 1,Yb(OTf)3,METHANOL,Yes,96.41816589,3.009311139
4,Bn-STM,Product 2,La(OTf)3,ETHANOL,Yes,9.470682626,1.124485067
5,Bn-STM,Product 2,Sm(OTf)3,ETHANOL,Yes,27.61055493,2.629656914
6,Bn-STM,Product 2,Yb(OTf)3,ETHANOL,Yes,35.04584486,2.931909712
7,Cy-STM,Product 3,La(OTf)3,METHANOL,Yes,4.553133204,0.052603816
8,Cy-STM,Product 3,Sm(OTf)3,METHANOL,Yes,58.63250094,2.538988558
9,Cy-STM,Product 3,Yb(OTf)3,METHANOL,Yes,93.75862259,0
10,Bn-STM,Product 1,AlCl3,METHANOL,Yes,53.78709085,2.332517589
11,Bn-STM,Product 1,Al(OTf)3,METHANOL,Yes,71.62520036,3.585615722
12,Bn-STM,Product 1,BF3OEt2,METHANOL,Yes,4.293908949,1.059937885
13,Bn-STM,Product 2,AlCl3,ETHANOL,Yes,18.13395666,1.965198864
14,Bn-STM,Product 2,Al(OTf)3,ETHANOL,Yes,26.06796223,2.595770327
15,Bn-STM,Product 2,BF3OEt2,ETHANOL,Yes,1.819272719,0.254725473
16,Cy-STM,Product 3,AlCl3,METHANOL,Yes,1.500579517,0.016191046
17,Cy-STM,Product 3,Al(OTf)3,METHANOL,Yes,3.652378602,0.049233184
18,Cy-STM,Product 3,BF3OEt2,METHANOL,Yes,0.049235727,0.000497389
19,Bn-STM,Product 1,MgCl2,METHANOL,Yes,3.291525722,5.311250714
20,Bn-STM,Product 1,MgBr2,METHANOL,Yes,36.71236789,63.05341331
21,Bn-STM,Product 1,Mg(OTf)2,METHANOL,Yes,0.331450094,0.114070487
22,Bn-STM,Product 2,MgCl2,ETHANOL,Yes,0.96907327,0.134623976
23,Bn-STM,Product 2,MgBr2,ETHANOL,Yes,24.27799433,2.261138614
24,Bn-STM,Product 2,Mg(OTf)2,ETHANOL,Yes,0.202570176,0.028213166
25,Cy-STM,Product 3,MgCl2,METHANOL,No,0,0
26,Cy-STM,Product 3,MgBr2,METHANOL,Yes,2.740246726,2.929802956
27,Cy-STM,Product 3,Mg(OTf)2,METHANOL,No,0,0
28,Bn-STM,Product 1,Sn(OTf)2,METHANOL,Yes,25.72570765,14.99387452
29,Bn-STM,Product 1,SnCl2,METHANOL,Yes,0.613233844,0.534971482
30,Bn-STM,Product 1,Gd(OTf)3,METHANOL,Yes,95.7584346,2.774003184
31,Bn-STM,Product 2,Sn(OTf)2,ETHANOL,Yes,10.03305696,1.196767938
32,Bn-STM,Product 2,SnCl2,ETHANOL,Yes,0.291233029,0.041187159
33,Bn-STM,Product 2,Gd(OTf)3,ETHANOL,Yes,34.01648003,3.036831133
34,Cy-STM,Product 3,Sn(OTf)2,METHANOL,Yes,0.224152424,0.004083195
35,Cy-STM,Product 3,SnCl2,METHANOL,No,0,0
36,Cy-STM,Product 3,Gd(OTf)3,METHANOL,Yes,86.36725248,0
37,Bn-STM,Product 1,Bi(OTf)3,METHANOL,Yes,74.36575587,6.846130521
38,Bn-STM,Product 1,InCl3,METHANOL,Yes,0.568547522,0.330401201
39,Bn-STM,Product 1,In(OTf)3,METHANOL,Yes,6.093376313,87.09576791
40,Bn-STM,Product 2,Bi(OTf)3,ETHANOL,Yes,6.48269632,0.859424009
41,Bn-STM,Product 2,InCl3,ETHANOL,Yes,0.755084773,0.106286748
42,Bn-STM,Product 2,In(OTf)3,ETHANOL,Yes,2.714155088,0.235807014
43,Cy-STM,Product 3,Bi(OTf)3,METHANOL,Yes,1.222767488,0.017804708
44,Cy-STM,Product 3,InCl3,METHANOL,No,0,0
45,Cy-STM,Product 3,In(OTf)3,METHANOL,No,0,0
46,Bn-STM,Product 1,Sc(OTf)3,METHANOL,Yes,50.92801832,25.27494049
47,Bn-STM,Product 1,Sc(NTf2)3,METHANOL,Yes,3.945899955,3.406667477
48,Bn-STM,Product 1,TiCl4-2THF,METHANOL,Yes,8.138686963,2.928241004
49,Bn-STM,Product 2,Sc(OTf)3,ETHANOL,Yes,10.32401039,1.126101453
50,Bn-STM,Product 2,Sc(NTf2)3,ETHANOL,Yes,1.40417498,0.193124816
51,Bn-STM,Product 2,TiCl4-2THF,ETHANOL,Yes,4.489313715,0.606676343
52,Cy-STM,Product 3,Sc(OTf)3,METHANOL,Yes,1.802845243,0.03236647
53,Cy-STM,Product 3,Sc(NTf2)3,METHANOL,No,0,0
54,Cy-STM,Product 3,TiCl4-2THF,METHANOL,No,0,0
55,Bn-STM,Product 1,ZnBr2,METHANOL,Yes,0.108155573,0.299837231
56,Bn-STM,Product 1,Zn(OTf)2,METHANOL,Yes,0.317562493,0.627615063
57,Bn-STM,Product 1,Zn(NTf)2,METHANOL,Yes,6.304867412,21.26052038
58,Bn-STM,Product 2,ZnBr2,ETHANOL,No,0,0
59,Bn-STM,Product 2,Zn(OTf)2,ETHANOL,Yes,1.562600752,0.209208633
60,Bn-STM,Product 2,Zn(NTf)2,ETHANOL,Yes,8.494356437,0.896268915
61,Cy-STM,Product 3,ZnBr2,METHANOL,No,0,0
62,Cy-STM,Product 3,Zn(OTf)2,METHANOL,No,0,0
