Entry,Row,Column,Lewis_Acid,Equiv_LA,Ionic_Radius,Solvent,Time_h,Temp_C,Corr_AP_PDT,PDT_Yield,SM_Yield,Aux Yield
0,A,0,La(OTf)3,0.02,121.6,METHANOL,0,50,0,0,100,0
1,A,1,La(OTf)3,0.02,121.6,METHANOL,0.5,50,3.37,7.79,98.67,-0.46
2,A,2,La(OTf)3,0.02,121.6,METHANOL,1,50,3.82,9.31,95.87,-0.46
3,A,3,La(OTf)3,0.02,121.6,METHANOL,1.5,50,4.49,11.38,92.88,12.39
4,A,4,La(OTf)3,0.02,121.6,METHANOL,2.5,50,8.39,21.89,84.1,21.43
5,A,5,La(OTf)3,0.02,121.6,METHANOL,4,50,10.29,25.78,75.77,27.62
6,A,6,La(OTf)3,0.02,121.6,METHANOL,6,50,15.94,38.44,64.53,42.57
7,A,7,La(OTf)3,0.02,121.6,METHANOL,9,50,21.32,45.77,52.17,49.5
8,A,8,La(OTf)3,0.02,121.6,METHANOL,24.5,50,69.92,90.26,6.43,90.91
0,A,0,Ce(OTf)3,0.02,119.6,METHANOL,0,50,0,0,100,0
1,A,1,Ce(OTf)3,0.02,119.6,METHANOL,0.5,50,1.78,2.48,102.31,-0.46
2,A,2,Ce(OTf)3,0.02,119.6,METHANOL,1,50,1.47,1.33,103.75,-0.46
3,A,3,Ce(OTf)3,0.02,119.6,METHANOL,1.5,50,1.74,2.43,101.96,-0.46
4,A,4,Ce(OTf)3,0.02,119.6,METHANOL,2.5,50,1.99,2.97,98.98,-0.46
5,A,5,Ce(OTf)3,0.02,119.6,METHANOL,4,50,3.44,8.03,100.34,4.4
6,A,6,Ce(OTf)3,0.02,119.6,METHANOL,6,50,3.48,7.97,98.62,5.87
7,A,7,Ce(OTf)3,0.02,119.6,METHANOL,9,50,5.12,13.44,96.14,11.91
8,A,8,Ce(OTf)3,0.02,119.6,METHANOL,24.5,50,8.31,21.63,83.95,19.12
0,A,0,Pr(OTf)3,0.02,117.9,METHANOL,0,50,0,0,100,0
1,A,1,Pr(OTf)3,0.02,117.9,METHANOL,0.5,50,5.29,13.34,93.3,14.39
2,A,2,Pr(OTf)3,0.02,117.9,METHANOL,1,50,7.23,18.25,85.81,19.33
3,A,3,Pr(OTf)3,0.02,117.9,METHANOL,1.5,50,9.1,24.03,82.69,26.31
4,A,4,Pr(OTf)3,0.02,117.9,METHANOL,2.5,50,13.92,35.09,70.95,38.12
5,A,5,Pr(OTf)3,0.02,117.9,METHANOL,4,50,18.73,43.54,61.08,49.88
6,A,6,Pr(OTf)3,0.02,117.9,METHANOL,6,50,26.55,55.13,46.62,55.63
7,A,7,Pr(OTf)3,0.02,117.9,METHANOL,9,50,35.84,68.1,35.8,71.99
8,A,8,Pr(OTf)3,0.02,117.9,METHANOL,24.5,50,83.42,100.43,2.26,96.96
0,A,0,Nd(OTf)3,0.02,116.3,METHANOL,0,50,0,0,100,0
1,A,1,Nd(OTf)3,0.02,116.3,METHANOL,0.5,50,5.51,14.51,89.39,20.09
2,A,2,Nd(OTf)3,0.02,116.3,METHANOL,1,50,9.3,24.87,84.78,24.29
3,A,3,Nd(OTf)3,0.02,116.3,METHANOL,1.5,50,10.77,27.71,77.31,29
4,A,4,Nd(OTf)3,0.02,116.3,METHANOL,2.5,50,17.3,41.49,64.03,42.19
5,A,5,Nd(OTf)3,0.02,116.3,METHANOL,4,50,21.36,47.36,56.1,47.27
6,A,6,Nd(OTf)3,0.02,116.3,METHANOL,6,50,31.54,63.18,42.23,64.07
7,A,7,Nd(OTf)3,0.02,116.3,METHANOL,9,50,41.11,71.98,30.71,75.75
8,A,8,Nd(OTf)3,0.02,116.3,METHANOL,24.5,50,87.13,97.11,1.39,100.71
0,A,0,Sm(OTf)3,0.02,113.2,METHANOL,0,50,0,0,100,0
1,A,1,Sm(OTf)3,0.02,113.2,METHANOL,0.5,50,13.06,34.39,77.84,30.02
2,A,2,Sm(OTf)3,0.02,113.2,METHANOL,1,50,17.91,43.18,65.75,42.56
3,A,3,Sm(OTf)3,0.02,113.2,METHANOL,1.5,50,22.69,51.36,57.22,45.89
4,A,4,Sm(OTf)3,0.02,113.2,METHANOL,2.5,50,34.04,65.85,40.71,69.85
5,A,5,Sm(OTf)3,0.02,113.2,METHANOL,4,50,44.37,79.18,30.11,71.73
6,A,6,Sm(OTf)3,0.02,113.2,METHANOL,6,50,57.97,85.85,17.79,87.78
7,A,7,Sm(OTf)3,0.02,113.2,METHANOL,9,50,73.03,96.2,9.46,94.26
8,A,8,Sm(OTf)3,0.02,113.2,METHANOL,24.5,50,97.11,98.97,-1.4,103
0,A,0,Eu(OTf)3,0.02,112,METHANOL,0,50,0,0,100,0
1,A,1,Eu(OTf)3,0.02,112,METHANOL,0.5,50,16.94,42.49,69.39,38.16
2,A,2,Eu(OTf)3,0.02,112,METHANOL,1,50,22.85,52.48,56.18,58.01
3,A,3,Eu(OTf)3,0.02,112,METHANOL,1.5,50,29.61,62.12,46.67,62.1
4,A,4,Eu(OTf)3,0.02,112,METHANOL,2.5,50,43.99,75.8,30.23,80.13
5,A,5,Eu(OTf)3,0.02,112,METHANOL,4,50,55.38,86.2,20.5,83.16
6,A,6,Eu(OTf)3,0.02,112,METHANOL,6,50,70.58,93.82,10.28,94.53
